method_name,problem_id,retention_mode,source_valid_ppa,retained_candidate_count,retained_fraction,occupied_cells,mean_front_size,max_front_size,hypervolume,global_pareto_point_count,best_fitness,ppa_grid_occupied_cells,ppa_grid_total_cells,ppa_grid_coverage,unique_canonical_netlist_count,duplicate_netlist_count,unique_motif_signature_count,ppa_front_unique_netlist_count
synthesis_trajectory_nod,VerilogEval-Spec-to-RTL/Prob030_popcount255,scalar_cell_elite,36,2,0.05555555555555555,2,1.0,1,0.0025788075099432064,2,0.2887477059705553,1,16,0.0625,2,0,2,2
synthesis_trajectory_nod,VerilogEval-Spec-to-RTL/Prob030_popcount255,bounded_local_pareto,36,2,0.05555555555555555,2,1.0,1,0.0025788075099432064,2,0.2887477059705553,1,16,0.0625,2,0,2,2
synthesis_trajectory_nod,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,40,3,0.075,3,1.0,1,0.0,1,0.04155040525406675,1,64,0.015625,3,0,3,1
synthesis_trajectory_nod,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,40,9,0.225,3,3.0,4,0.0,4,0.04155040525406675,1,64,0.015625,7,2,6,2
synthesis_trajectory_motif_nod,RTLLM/Prob011_multi_16bit,scalar_cell_elite,27,3,0.1111111111111111,3,1.0,1,0.0,2,0.19297813499265404,3,64,0.046875,3,0,3,2
synthesis_trajectory_motif_nod,RTLLM/Prob011_multi_16bit,bounded_local_pareto,27,6,0.2222222222222222,3,2.0,4,0.0,5,0.19297813499265404,5,64,0.078125,6,0,5,5
synthesis_trajectory_motif_nod,RTLLM/Prob019_sub_64bit,scalar_cell_elite,41,5,0.12195121951219512,5,1.0,1,0.4499369557400372,1,0.48228021147642647,2,16,0.125,5,0,5,1
synthesis_trajectory_motif_nod,RTLLM/Prob019_sub_64bit,bounded_local_pareto,41,11,0.2682926829268293,5,2.2,4,0.4499369557400372,2,0.48228021147642647,2,16,0.125,10,1,7,2
synthesis_trajectory_motif_nod,RTLLM/Prob048_pe,scalar_cell_elite,23,1,0.043478260869565216,1,1.0,1,0.0,1,0.002637280923532347,1,64,0.015625,1,0,1,1
synthesis_trajectory_motif_nod,RTLLM/Prob048_pe,bounded_local_pareto,23,1,0.043478260869565216,1,1.0,1,0.0,1,0.002637280923532347,1,64,0.015625,1,0,1,1
synthesis_trajectory_motif_nod,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,scalar_cell_elite,27,2,0.07407407407407407,2,1.0,1,0.2724434245035594,1,0.4231863785854045,2,16,0.125,2,0,2,1
synthesis_trajectory_motif_nod,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,bounded_local_pareto,27,5,0.18518518518518517,2,2.5,4,0.2724434245035594,4,0.4231863785854045,2,16,0.125,2,3,2,1
synthesis_trajectory_motif_nod,VerilogEval-Spec-to-RTL/Prob030_popcount255,scalar_cell_elite,41,2,0.04878048780487805,2,1.0,1,0.0,2,0.28511627906976744,1,16,0.0625,2,0,2,2
synthesis_trajectory_motif_nod,VerilogEval-Spec-to-RTL/Prob030_popcount255,bounded_local_pareto,41,3,0.07317073170731707,2,1.5,2,0.0,3,0.28511627906976744,1,16,0.0625,3,0,3,3
synthesis_trajectory_motif_nod,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,39,3,0.07692307692307693,3,1.0,1,0.0,1,0.04155040525406675,1,64,0.015625,3,0,3,1
synthesis_trajectory_motif_nod,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,39,8,0.20512820512820512,3,2.6666666666666665,4,0.0,4,0.04155040525406675,1,64,0.015625,6,2,5,2
sr_raw_pca_qd,RTLLM/Prob011_multi_16bit,scalar_cell_elite,34,2,0.058823529411764705,2,1.0,1,0.0,1,0.20652973429742938,2,64,0.03125,2,0,2,1
sr_raw_pca_qd,RTLLM/Prob011_multi_16bit,bounded_local_pareto,34,5,0.14705882352941177,2,2.5,4,0.0,4,0.20652973429742938,4,64,0.0625,5,0,5,4
sr_raw_pca_qd,RTLLM/Prob019_sub_64bit,scalar_cell_elite,47,5,0.10638297872340426,5,1.0,1,0.4499369557400372,1,0.48228021147642647,2,16,0.125,5,0,5,1
sr_raw_pca_qd,RTLLM/Prob019_sub_64bit,bounded_local_pareto,47,8,0.1702127659574468,5,1.6,3,0.4499369557400372,2,0.48228021147642647,2,16,0.125,7,1,7,1
sr_raw_pca_qd,RTLLM/Prob048_pe,scalar_cell_elite,15,1,0.06666666666666667,1,1.0,1,0.0,1,0.0008356886603559543,1,64,0.015625,1,0,1,1
sr_raw_pca_qd,RTLLM/Prob048_pe,bounded_local_pareto,15,4,0.26666666666666666,1,4.0,4,0.0,4,0.0008356886603559543,1,64,0.015625,1,3,1,1
sr_raw_pca_qd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,scalar_cell_elite,35,1,0.02857142857142857,1,1.0,1,0.2724434245035594,1,0.4231863785854045,1,16,0.0625,1,0,1,1
sr_raw_pca_qd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,bounded_local_pareto,35,4,0.11428571428571428,1,4.0,4,0.2724434245035594,4,0.4231863785854045,1,16,0.0625,1,3,1,1
sr_raw_pca_qd,VerilogEval-Spec-to-RTL/Prob030_popcount255,scalar_cell_elite,36,1,0.027777777777777776,1,1.0,1,0.0025746391788387724,1,0.28828258969148557,1,16,0.0625,1,0,1,1
sr_raw_pca_qd,VerilogEval-Spec-to-RTL/Prob030_popcount255,bounded_local_pareto,36,1,0.027777777777777776,1,1.0,1,0.0025746391788387724,1,0.28828258969148557,1,16,0.0625,1,0,1,1
sr_raw_pca_qd,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,42,2,0.047619047619047616,2,1.0,1,0.0,1,0.04155040525406675,1,64,0.015625,2,0,2,1
sr_raw_pca_qd,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,42,6,0.14285714285714285,2,3.0,4,0.0,4,0.04155040525406675,1,64,0.015625,3,3,2,1
sr_random_relu_pca_qd,RTLLM/Prob011_multi_16bit,scalar_cell_elite,31,1,0.03225806451612903,1,1.0,1,0.0008555872439719984,1,0.22223206483642052,1,64,0.015625,1,0,1,1
sr_random_relu_pca_qd,RTLLM/Prob011_multi_16bit,bounded_local_pareto,31,4,0.12903225806451613,1,4.0,4,0.0016257417970212884,4,0.22223206483642052,3,64,0.046875,4,0,4,4
sr_random_relu_pca_qd,RTLLM/Prob019_sub_64bit,scalar_cell_elite,44,4,0.09090909090909091,4,1.0,1,0.4499369557400372,1,0.48228021147642647,2,16,0.125,4,0,4,1
sr_random_relu_pca_qd,RTLLM/Prob019_sub_64bit,bounded_local_pareto,44,10,0.22727272727272727,4,2.5,4,0.4499369557400372,2,0.48228021147642647,2,16,0.125,8,2,6,1
sr_random_relu_pca_qd,RTLLM/Prob048_pe,scalar_cell_elite,15,1,0.06666666666666667,1,1.0,1,0.0,1,0.015005149523799792,1,64,0.015625,1,0,1,1
sr_random_relu_pca_qd,RTLLM/Prob048_pe,bounded_local_pareto,15,3,0.2,1,3.0,3,0.0,3,0.015005149523799792,1,64,0.015625,2,1,2,2
